matched_depth,R09
15,0.067533976
16,0.79721654
17,0.036217324
17,-0.004342702
17,0.125454076
18,0.155195522
19,-0.172660421
19,0.026540423
19,0.134283374
19,0.068271081
19,0.225426136
20,-0.313612035
20,0.172822302
20,0.118282528
20,0.123724999
19,-0.114035051
19,-0.012509184
17,-0.196715481
19,-0.081315127
20,0.262573883
19,0.008107037
20,0.062137396
21,0.351439754
23,0.04667868
23,0.12705188
23,0.442807053
24,0.234491957
24,0.278280573
24,0.186832377
24,0.19724865
24,0.299651926
25,0.364559223
26,0.339174047
26,0.217434778
26,0.15797342
27,0.335136982
27,0.186630281
28,0.224430622
28,0.404155381
28,0.356756286
29,0.175973962
29,0.281921577
28,0.207946496
29,0.156412848
29,0.017475462
29,0.224380549
29,0.353200114
29,0.362615259
25,0.070363833
23,0.183124209
23,-0.392438256
24,0.052396635
23,-0.007540923
15,0.048586592
18,2.415352266
29,0.449248409
18,0.222224524
29,-0.00644981
19,0.246646584
17,-0.026649721
17,0.046226605
16,-0.045418349
19,0.058065808
24,0.427895855
19,0.529129294
19,0.463812651
20,0.069741733
21,-0.013819983
16,0.303483555
19,0.118029092
28,0.301604063
28,0.116930014
17,-0.262193537
29,0.001680774
27,0.116798396
18,-0.088917762
24,-0.075162534
17,0.173606498
28,0.090437793
19,-0.008823957
15,0.145739294
21,0.106293874
25,0.189807299
29,0.294136892
15,0.454282039
22,0.443518337
19,0.244601999
28,1.645451249
27,0.951076848
28,-0.018383581
