vs30,stdv
422.8424,0.47853944
176.27768,0.29154754
299.40686,0.38359207
195.5879,0.30625662
306.93918,0.44966033
299.84802,0.45825756
233.4387,0.32946062
356.40216,0.47477344
378.22882,0.41044065
261.2825,0.5
198.40952,0.26085487
381.3507,0.5126646
615.3261,0.48869705
309.19757,0.5051473
757.87305,0.5
422.8424,0.47853944
176.27768,0.29154754
299.40686,0.38359207
195.5879,0.30625662
306.93918,0.44966033
299.84802,0.45825756
233.4387,0.32946062
356.40216,0.47477344
378.22882,0.41044065
261.2825,0.5
198.40952,0.26085487
381.3507,0.5126646
615.3261,0.48869705
309.19757,0.5051473
757.87305,0.5
421.36288,0.48553598
171.37888,0.29154754
302.3182,0.41715598
199.16812,0.30625662
306.93918,0.44966033
386.17865,0.5424984
235.12146,0.32946062
352.41113,0.47477344
378.22882,0.41044065
343.32108,0.5
198.40952,0.26085487
381.3507,0.5126646
617.3214,0.4909821
309.19757,0.5051473
805.9274,0.6088191
